2025-10-23 23:34:33 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=1605, 阶段=8/0
2025-10-23 23:34:33 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=2195, 阶段=8/0
2025-10-23 23:34:33 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=2052, 阶段=8/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=695, 阶段=1/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=31, 阶段=1/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=597, 阶段=1/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=1358, 阶段=1/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=461, 阶段=1/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=5, 阶段=1/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=6, 阶段=1/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=7, 阶段=1/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=8, 阶段=1/0
2025-10-23 23:35:24 | INFO     | progress:76 | 学习进度创建成功: 学生=linhao, 单词集=Sheet1, 单词索引=9, 阶段=1/0
2025-10-23 23:35:27 | INFO     | anti_forget:80 | 创建抗遗忘会话: ID=af_1_Sheet1_1761280527, 学生=linhao, 单词集=Sheet1, 单词数=10
2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-24T23:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-25T23:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-26T23:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-28T23:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-10-30T23:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-01T23:00:00Z (UTC), 类型=review, 时长=30分钟
2025-10-23 23:35:27 | INFO     | schedule:124 | 课程创建成功: 教师ID=user-1761277617468, 学生=linhao, 时间=2025-11-04T23:00:00Z (UTC), 类型=review, 时长=30分钟
